label,sender,subject,body
benign,notices@university.edu,Weekly campus newsletter,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,newsletter@news.example,Course registration confirmation,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,billing@utility.example,Your order has shipped,"Dear customer,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,registrar@university.edu,Seminar: Introduction to Databases,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,events@university.edu,Course registration confirmation,"Hello,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Kind regards, Campus Services"
benign,events@university.edu,Weekly campus newsletter,"Hello,

Your order #8443 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,receipts@shop.example,Water bill for June available,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Best wishes, Support Staff"
benign,hr@company.example,Monthly payment receipt,"Dear customer,

Your order #8445 shipped today and should arrive within five business days. Thank you for your purchase.

Kind regards, Campus Services"
benign,billing@utility.example,Water bill for June available,"Hello,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,registrar@university.edu,Your order has shipped,"Hi there,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Best wishes, Support Staff"
benign,billing@utility.example,Your order has shipped,"Dear customer,

The central library will remain open until 10 PM during examination week. No action is required from students.

Regards, The Team"
benign,events@university.edu,Library hours during exam week,"Dear customer,

Your payment of $93.00 was received on the 3rd. This receipt confirms the settled balance.

Best wishes, Support Staff"
benign,newsletter@news.example,Office closed on Monday,"Good morning,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Regards, The Team"
benign,receipts@shop.example,Monthly payment receipt,"Hi there,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Library hours during exam week,"Hello,

You are invited to the alumni meetup on the 24th at the old student union building.

Best wishes, Support Staff"
benign,alumni@university.edu,Water bill for June available,"Hi there,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,hr@company.example,Seminar: Introduction to Databases,"Good morning,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,events@university.edu,Seminar: Introduction to Databases,"Good morning,

Your order #8455 shipped today and should arrive within five business days. Thank you for your purchase.

Kind regards, Campus Services"
benign,registrar@university.edu,Office closed on Monday,"Good morning,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,newsletter@news.example,Your order has shipped,"Dear student,

Your order #8457 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,events@university.edu,Team meeting moved to Friday,"Dear student,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,registrar@university.edu,Library hours during exam week,"Dear customer,

You are invited to the alumni meetup on the 24th at the old student union building.

Kind regards, Campus Services"
benign,registrar@university.edu,Water bill for June available,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,hr@company.example,Weekly campus newsletter,"Hello,

Your order #8461 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,newsletter@news.example,Team meeting moved to Friday,"Dear customer,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,alumni@university.edu,Library hours during exam week,"Good morning,

Your payment of $101.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,hr@company.example,Monthly payment receipt,"Hello,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,newsletter@news.example,Monthly payment receipt,"Good morning,

Your order #8465 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,receipts@shop.example,Monthly payment receipt,"Good morning,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,notices@university.edu,Seminar: Introduction to Databases,"Dear customer,

Your payment of $39.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,notices@university.edu,Weekly campus newsletter,"Hi there,

Your payment of $46.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,billing@utility.example,Water bill for June available,"Dear customer,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,registrar@university.edu,Seminar: Introduction to Databases,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Alumni meetup invitation,"Good morning,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Best wishes, Support Staff"
benign,hr@company.example,Library hours during exam week,"Dear student,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Your order has shipped,"Hi there,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Thanks, Administration"
benign,alumni@university.edu,Office closed on Monday,"Good morning,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Regards, The Team"
benign,hr@company.example,Team meeting moved to Friday,"Dear customer,

The central library will remain open until 10 PM during examination week. No action is required from students.

Regards, The Team"
benign,it-helpdesk@company.example,Office closed on Monday,"Hi there,

Your payment of $102.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,registrar@university.edu,Office closed on Monday,"Hello,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Regards, The Team"
benign,receipts@shop.example,Course registration confirmation,"Dear student,

Your payment of $26.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,receipts@shop.example,Library hours during exam week,"Hi there,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,newsletter@news.example,Seminar: Introduction to Databases,"Dear student,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,alumni@university.edu,Weekly campus newsletter,"Hello,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Thanks, Administration"
benign,hr@company.example,Alumni meetup invitation,"Dear student,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,events@university.edu,Weekly campus newsletter,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Kind regards, Campus Services"
benign,events@university.edu,Alumni meetup invitation,"Hi there,

Your payment of $68.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,events@university.edu,Library hours during exam week,"Good morning,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,it-helpdesk@company.example,Office closed on Monday,"Hello,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Thanks, Administration"
benign,registrar@university.edu,Monthly payment receipt,"Good morning,

Your payment of $89.00 was received on the 3rd. This receipt confirms the settled balance.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Office closed on Monday,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,receipts@shop.example,Office closed on Monday,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Thanks, Administration"
benign,events@university.edu,Water bill for June available,"Hello,

Your payment of $20.00 was received on the 3rd. This receipt confirms the settled balance.

Thanks, Administration"
benign,receipts@shop.example,Office closed on Monday,"Good morning,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,billing@utility.example,Course registration confirmation,"Dear customer,

Your order #8492 shipped today and should arrive within five business days. Thank you for your purchase.

Best wishes, Support Staff"
benign,hr@company.example,Seminar: Introduction to Databases,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,registrar@university.edu,Your order has shipped,"Dear student,

Your order #8494 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,hr@company.example,Library hours during exam week,"Hello,

Your order #8495 shipped today and should arrive within five business days. Thank you for your purchase.

Best wishes, Support Staff"
benign,registrar@university.edu,Course registration confirmation,"Dear customer,

You are invited to the alumni meetup on the 24th at the old student union building.

Regards, The Team"
benign,events@university.edu,Course registration confirmation,"Dear customer,

Your order #8497 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,notices@university.edu,Seminar: Introduction to Databases,"Dear customer,

Your order #8498 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,alumni@university.edu,Course registration confirmation,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,registrar@university.edu,Course registration confirmation,"Hi there,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,billing@utility.example,Alumni meetup invitation,"Good morning,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Best wishes, Support Staff"
benign,hr@company.example,Course registration confirmation,"Dear customer,

Your payment of $104.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,newsletter@news.example,Water bill for June available,"Dear customer,

Your order #843 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,billing@utility.example,Seminar: Introduction to Databases,"Dear student,

Your order #844 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,it-helpdesk@company.example,Weekly campus newsletter,"Good morning,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,hr@company.example,Your order has shipped,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Regards, The Team"
benign,registrar@university.edu,Office closed on Monday,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,events@university.edu,Library hours during exam week,"Hi there,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Best wishes, Support Staff"
benign,notices@university.edu,Alumni meetup invitation,"Dear customer,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Monthly payment receipt,"Dear customer,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,billing@utility.example,Your order has shipped,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Best wishes, Support Staff"
benign,notices@university.edu,Office closed on Monday,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,billing@utility.example,Team meeting moved to Friday,"Good morning,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,events@university.edu,Alumni meetup invitation,"Good morning,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,events@university.edu,Team meeting moved to Friday,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Kind regards, Campus Services"
benign,newsletter@news.example,Office closed on Monday,"Dear student,

Your order #8416 shipped today and should arrive within five business days. Thank you for your purchase.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Weekly campus newsletter,"Dear customer,

Your payment of $29.00 was received on the 3rd. This receipt confirms the settled balance.

Best wishes, Support Staff"
benign,newsletter@news.example,Seminar: Introduction to Databases,"Dear customer,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Your order has shipped,"Hello,

The central library will remain open until 10 PM during examination week. No action is required from students.

Kind regards, Campus Services"
benign,receipts@shop.example,Your order has shipped,"Hello,

You are invited to the alumni meetup on the 24th at the old student union building.

Regards, The Team"
benign,receipts@shop.example,Team meeting moved to Friday,"Dear customer,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,billing@utility.example,Monthly payment receipt,"Dear student,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Kind regards, Campus Services"
benign,hr@company.example,Monthly payment receipt,"Hello,

You are invited to the alumni meetup on the 24th at the old student union building.

Kind regards, Campus Services"
benign,newsletter@news.example,Alumni meetup invitation,"Dear customer,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,registrar@university.edu,Alumni meetup invitation,"Hi there,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Thanks, Administration"
benign,registrar@university.edu,Alumni meetup invitation,"Hello,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Seminar: Introduction to Databases,"Good morning,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Kind regards, Campus Services"
benign,events@university.edu,Course registration confirmation,"Hello,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,billing@utility.example,Team meeting moved to Friday,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Thanks, Administration"
benign,alumni@university.edu,Course registration confirmation,"Dear customer,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,it-helpdesk@company.example,Your order has shipped,"Hello,

Your payment of $37.00 was received on the 3rd. This receipt confirms the settled balance.

Best wishes, Support Staff"
benign,receipts@shop.example,Course registration confirmation,"Good morning,

You are invited to the alumni meetup on the 24th at the old student union building.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Library hours during exam week,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Regards, The Team"
benign,billing@utility.example,Your order has shipped,"Dear student,

Your payment of $58.00 was received on the 3rd. This receipt confirms the settled balance.

Thanks, Administration"
benign,newsletter@news.example,Alumni meetup invitation,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,alumni@university.edu,Your order has shipped,"Hello,

Your order #8436 shipped today and should arrive within five business days. Thank you for your purchase.

Best wishes, Support Staff"
benign,billing@utility.example,Water bill for June available,"Hi there,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Best wishes, Support Staff"
benign,billing@utility.example,Library hours during exam week,"Hello,

Your payment of $86.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,events@university.edu,Your order has shipped,"Dear student,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,billing@utility.example,Water bill for June available,"Good morning,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,alumni@university.edu,Weekly campus newsletter,"Dear student,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,newsletter@news.example,Monthly payment receipt,"Hi there,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Regards, The Team"
benign,it-helpdesk@company.example,Seminar: Introduction to Databases,"Good morning,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Regards, The Team"
benign,receipts@shop.example,Course registration confirmation,"Dear student,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,registrar@university.edu,Your order has shipped,"Dear student,

Your order #8445 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,hr@company.example,Monthly payment receipt,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,newsletter@news.example,Library hours during exam week,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,hr@company.example,Course registration confirmation,"Hello,

The central library will remain open until 10 PM during examination week. No action is required from students.

Thanks, Administration"
benign,billing@utility.example,Course registration confirmation,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Regards, The Team"
benign,notices@university.edu,Monthly payment receipt,"Dear customer,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Kind regards, Campus Services"
benign,events@university.edu,Course registration confirmation,"Hello,

You are invited to the alumni meetup on the 24th at the old student union building.

Kind regards, Campus Services"
benign,hr@company.example,Team meeting moved to Friday,"Good morning,

Your payment of $94.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,receipts@shop.example,Seminar: Introduction to Databases,"Good morning,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,alumni@university.edu,Office closed on Monday,"Dear customer,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,events@university.edu,Monthly payment receipt,"Good morning,

You are invited to the alumni meetup on the 24th at the old student union building.

Kind regards, Campus Services"
benign,registrar@university.edu,Your order has shipped,"Hi there,

Your payment of $32.00 was received on the 3rd. This receipt confirms the settled balance.

Kind regards, Campus Services"
benign,hr@company.example,Your order has shipped,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,hr@company.example,Library hours during exam week,"Dear customer,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Best wishes, Support Staff"
benign,newsletter@news.example,Library hours during exam week,"Hi there,

Your payment of $53.00 was received on the 3rd. This receipt confirms the settled balance.

Thanks, Administration"
benign,billing@utility.example,Seminar: Introduction to Databases,"Hi there,

Your payment of $60.00 was received on the 3rd. This receipt confirms the settled balance.

Regards, The Team"
benign,events@university.edu,Seminar: Introduction to Databases,"Good morning,

Your order #8461 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,newsletter@news.example,Team meeting moved to Friday,"Hello,

The central library will remain open until 10 PM during examination week. No action is required from students.

Regards, The Team"
benign,newsletter@news.example,Alumni meetup invitation,"Good morning,

Your payment of $81.00 was received on the 3rd. This receipt confirms the settled balance.

Best wishes, Support Staff"
benign,registrar@university.edu,Course registration confirmation,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,alumni@university.edu,Water bill for June available,"Dear customer,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Kind regards, Campus Services"
benign,notices@university.edu,Office closed on Monday,"Dear student,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,notices@university.edu,Seminar: Introduction to Databases,"Hi there,

You are invited to the alumni meetup on the 24th at the old student union building.

Kind regards, Campus Services"
benign,newsletter@news.example,Alumni meetup invitation,"Hello,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Best wishes, Support Staff"
benign,alumni@university.edu,Course registration confirmation,"Dear student,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Best wishes, Support Staff"
benign,billing@utility.example,Seminar: Introduction to Databases,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Weekly campus newsletter,"Hello,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Thanks, Administration"
benign,events@university.edu,Course registration confirmation,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Kind regards, Campus Services"
benign,billing@utility.example,Seminar: Introduction to Databases,"Dear student,

Your payment of $61.00 was received on the 3rd. This receipt confirms the settled balance.

Thanks, Administration"
benign,registrar@university.edu,Office closed on Monday,"Good morning,

The central library will remain open until 10 PM during examination week. No action is required from students.

Best wishes, Support Staff"
benign,events@university.edu,Library hours during exam week,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,billing@utility.example,Course registration confirmation,"Hello,

Your order #8476 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,alumni@university.edu,Team meeting moved to Friday,"Dear student,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Best wishes, Support Staff"
benign,registrar@university.edu,Library hours during exam week,"Good morning,

Your order #8478 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,newsletter@news.example,Water bill for June available,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Best wishes, Support Staff"
benign,registrar@university.edu,Your order has shipped,"Hello,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Kind regards, Campus Services"
benign,hr@company.example,Course registration confirmation,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,events@university.edu,Course registration confirmation,"Dear customer,

Your order #8482 shipped today and should arrive within five business days. Thank you for your purchase.

Best wishes, Support Staff"
benign,alumni@university.edu,Team meeting moved to Friday,"Dear customer,

Your order #8483 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,registrar@university.edu,Monthly payment receipt,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Thanks, Administration"
benign,notices@university.edu,Monthly payment receipt,"Dear student,

You are invited to the alumni meetup on the 24th at the old student union building.

Best wishes, Support Staff"
benign,hr@company.example,Course registration confirmation,"Good morning,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,it-helpdesk@company.example,Water bill for June available,"Good morning,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Best wishes, Support Staff"
benign,it-helpdesk@company.example,Your order has shipped,"Hi there,

You are invited to the alumni meetup on the 24th at the old student union building.

Best wishes, Support Staff"
benign,receipts@shop.example,Office closed on Monday,"Hello,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Best wishes, Support Staff"
benign,events@university.edu,Office closed on Monday,"Hi there,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Kind regards, Campus Services"
benign,hr@company.example,Water bill for June available,"Good morning,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Kind regards, Campus Services"
benign,billing@utility.example,Seminar: Introduction to Databases,"Good morning,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Kind regards, Campus Services"
benign,hr@company.example,Office closed on Monday,"Hi there,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Best wishes, Support Staff"
benign,newsletter@news.example,Weekly campus newsletter,"Good morning,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Kind regards, Campus Services"
